Id                     ; Name:en
altibox                ; "altibox"
billity                ; "Billity"
chilimobil             ; "chilimobil"
com4                   ; "com4"
erate                  ; "erate"
ixt_as                 ; "Ixt AS"
kvantel                ; "kvantel"
lyca_mobile            ; "lyca mobile"
lyse                   ; "Lyse Tele"
netcom                 ; "NetCom"
nextgentel             ; "nextgentel"
nkom                   ; "nkom (nasjonal kommunikasjonsmyndighet)"
phonect                ; "phonect"
sierra_wireless        ; "sierra wireless"
svea_billing_services  ; "svea billing services"
telavox                ; "telavox"
telenor                ; "telenor norge"
telia                  ; "telia"
telia_telecom_solution ; "telia telecom solution"
